anosFidelidadeCliente,codigoEstadoCivil,sexoSegurado,tipoPessoaSegurado,resgatePontos,numeroSegmentoCliente,codigoCategoriaTarifaria,quantidadePortasVeiculo,codigoCombustivelVeiculo,codigoUsoVeiculo,codigoFamiliaVeiculo,especieVeiculo,codigoTipoVeiculo,codigoMarcaVeiculo,numeroSegmentoDocumento,codigoSucursal,premioLiquidoPagoApolice,valorFranquia,valorPremioFinal,valorDiferencaPremioAnual,quantidadeUtilizacaoEstapar,codigoClasseLocalizacao,origemProposta,codigoAgravamentoPremio,quantidadeParcelas,quantidadeSinistroAuto,quantidadeTotalSinistros,codigoClasseBonus,codigoFormaPagamento,Mes,diaSemana,estacaoAno,codigoIBGEUF,IDHM,IDHM_E,IDHM_L,IDHM_R,I_ESCOLARIDADE,valorPremioPagoAtual,correntista,faixaIdade,faixaPrecoLiquido,faixaPrecoFranquia,faixaPrecoPremioFinal,diferencaPremioAntNovo,faixaDiferencaValores,gerouSinistro
3,2,0,1,0,1,10,4,8,1,38,1,30,2,8,46,1223.57,1619.0,954.48,954.48,0,11,12,0,4,0,0,10,52,3,4,2,35,0.7609999999999999,675,835,782,647,1300.18,0,2,2,2,2,76.61000000000013,2,0
5,2,0,1,0,1,23,5,2,1,29,2,9,72,16,28,6335.52,14221.0,4848.56,5387.29,2,11,12,0,4,0,0,8,62,3,5,2,35,578,363,0.73,0.7290000000000001,365,6506.66,0,2,3,3,3,171.13999999999942,3,0
4,5,1,1,1,1,22,5,8,1,29,2,48,73,3,7,2797.5,2996.0,518.53,690.74252,0,5,12,0,4,0,0,2,52,3,4,2,42,578,363,0.73,0.7290000000000001,365,2120.0,1,2,3,3,1,-677.5,1,0
3,5,1,1,0,1,10,4,8,1,39,1,22,7,3,69,1794.58,2568.0,1086.24,1143.41,0,13,12,0,4,0,0,10,52,3,4,2,35,484,301,0.6759999999999999,556,251,1643.34,1,2,2,2,2,-151.24,1,0
2,2,0,1,0,1,10,5,8,1,37,2,151,2,8,67,1225.47,1760.0,783.82,870.92,0,13,20,0,4,0,0,0,52,3,4,2,35,0.7829999999999999,0.7190000000000001,845,789,629,1217.53,0,2,2,2,2,-7.940000000000055,2,0
4,2,0,1,0,1,10,5,8,1,37,2,151,2,6,47,743.93,1408.0,539.57,613.15,0,13,12,0,4,0,0,2,52,3,4,2,35,0.7609999999999999,675,835,782,647,620.29,0,3,1,1,1,-123.64,1,0
0,2,0,1,0,1,10,4,2,1,1,1,106,3,6,40,922.47,2705.0,749.38,832.64,0,11,12,0,4,0,0,10,62,3,5,2,35,0.7020000000000001,581,0.7859999999999999,0.7559999999999999,0.48700000000000004,897.45,0,3,1,3,2,-25.019999999999985,2,0
12,2,1,1,1,1,10,5,8,1,25,2,188,2,3,26,893.22,1877.0,690.5930000000001,812.4685,0,12,12,0,5,0,0,10,97,3,4,2,35,488,259,0.6990000000000001,0.6409999999999999,273,846.21,1,2,1,2,2,-47.00999999999999,2,0
2,1,1,1,0,1,10,3,8,1,35,1,64,1,3,37,928.33,1562.0,614.12,682.36,0,11,20,0,4,0,0,10,52,3,4,2,35,544,0.37200000000000005,705,615,326,833.2,0,2,1,2,1,-95.13,2,0
4,2,1,1,0,1,10,5,8,1,3,1,77,1,3,56,858.12,1393.0,652.97,768.2,0,11,20,0,4,0,0,10,52,3,4,2,35,664,505,804,0.72,419,881.31,1,2,1,1,1,23.189999999999944,2,0
